i_Model,x_Model,y_Model,i_Scene,x_Scene,y_Scene
139.000000,114.706339,168.688068,154.000000,119.000000,170.000000
140.000000,105.023484,145.667793,188.000000,107.000000,145.000000
141.000000,146.642764,112.533803,40.000000,149.000000,113.000000
142.000000,115.974621,141.382229,158.000000,118.000000,140.000000
143.000000,94.700392,126.437310,172.000000,96.000000,127.000000
144.000000,116.000000,149.344486,152.000000,114.000000,155.000000
145.000000,130.948984,84.742344,130.000000,132.000000,86.000000
146.000000,114.820933,156.996698,190.000000,118.000000,157.000000
147.000000,134.888781,136.554111,223.000000,137.000000,137.000000
148.000000,80.860577,140.347089,170.000000,83.000000,140.000000
149.000000,127.172681,99.827319,135.000000,128.000000,100.000000
150.000000,73.981533,146.294838,160.000000,77.000000,147.000000
151.000000,74.000000,113.692991,99.000000,75.000000,114.000000
152.000000,110.244776,163.612090,163.000000,114.000000,163.000000
153.000000,138.974424,141.243891,231.000000,139.000000,141.000000
154.000000,142.751603,134.171753,222.000000,148.000000,135.000000
155.000000,100.635150,107.223122,17.000000,106.000000,111.000000
156.000000,104.000000,139.633318,169.000000,106.000000,139.000000
157.000000,94.748151,146.612442,151.000000,99.000000,146.000000
158.000000,156.530900,91.478892,118.000000,159.000000,94.000000
159.000000,142.338475,80.123729,117.000000,146.000000,81.000000
160.000000,103.138217,77.485520,75.000000,106.000000,78.000000
161.000000,128.529211,155.375198,54.000000,133.000000,155.000000
162.000000,100.570792,94.697465,12.000000,103.000000,96.000000
163.000000,76.908561,74.257104,94.000000,78.000000,74.000000
164.000000,133.679487,111.723324,115.000000,134.000000,112.000000
165.000000,110.671603,175.505753,200.000000,111.000000,174.000000
166.000000,117.057961,121.630901,43.000000,118.000000,125.000000
167.000000,103.517759,122.224617,194.000000,104.000000,123.000000
168.000000,77.055029,135.327025,186.000000,79.000000,136.000000
169.000000,116.357810,73.672361,82.000000,114.000000,74.000000
170.000000,148.928627,106.798328,120.000000,150.000000,106.000000
171.000000,81.701622,156.000000,178.000000,83.000000,156.000000
172.000000,117.604019,102.680118,112.000000,122.000000,103.000000
173.000000,104.000000,83.000000,8.000000,106.000000,83.000000
174.000000,110.322538,108.733333,62.000000,113.000000,110.000000
175.000000,88.622347,123.601016,193.000000,91.000000,124.000000
176.000000,121.286764,109.041461,18.000000,124.000000,112.000000
177.000000,97.669251,177.000000,210.000000,100.000000,177.000000
178.000000,150.279672,101.343447,146.000000,152.000000,101.000000
179.000000,110.572532,151.729088,152.000000,114.000000,155.000000
180.000000,117.087828,137.033269,158.000000,118.000000,140.000000
